barcode,series,control symbol,title,contents dates,contents start year,contents end year,original access status,original access decision reasons,original access decision date,current access status,current access decision reasons,current access decision date,days closed,years closed,url
30157265,A13307,26A/3,"List of 'registered holders' of permits granted under the Petroleum (Submerged Lands) Act 1967-1973 in respect of areas to come under Indonesian jurisdiction by virtue of the Agreement between the Government of the Commonwealth of Australia and the Government of the Republic of Indonesia establishing Certain Seabed Boundaries in the Area of the Timor and Arafura Seas, supplementary to the Agreement of 18 May 1971 - Date and place of signing: Jakarta, 9 October 1972 - Date of entry into force for Australia: 8 November 1973 - ATS Number: [1973] ATS 32 - Languages: English and Indonesian",07 Nov 1973 - 07 Nov 1973,1973,1973,Closed,Withheld pending adv,2016-06-15 00:00:00,Open,,2017-11-14 00:00:00,517,1 years 152 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=30157265
3016119,A1209,1981/1791 PART 7,Australia's relations with Indonesia - East Timor,1981 - 1981,1981,1981,Closed,Withheld pending adv,2015-10-22 00:00:00,Open,,2017-07-13 00:00:00,630,1 years 265 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=3016119
3028778,A1209,1957/4036,Prime Minister Menzie's statement on Suez Canal dispute,1957 - 1957,1957,1957,Closed,Withheld pending adv,2016-03-22 00:00:00,Open,,2017-11-08 00:00:00,596,1 years 231 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=3028778
3029756,A1209,1957/4120,Suez Canal - Egyptian proposal for a conference 1956,1957 - 1957,1957,1957,Closed,Withheld pending adv,2016-03-22 00:00:00,Open,,2017-07-04 00:00:00,469,1 years 104 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=3029756
1639825,B26,MX165308 PART 1,"Livery, Constantine George",1945 - 1972,1945,1972,Closed,33(1)(g),1996-06-28 00:00:00,Open,,2017-08-28 00:00:00,7731,21 years 61 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1639825
1653955,A1838,625/14/70 PART 1,PPP 70 - Australia and South East Asia,1975 - 1976,1975,1976,Closed,Withheld pending adv,2011-07-05 00:00:00,Open,,2017-10-16 00:00:00,2295,6 years 104 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1653955
1654148,A1838,625/15/12 PART 5,Policy planning group - Australia and the non aligned movement,1975 - 1976,1975,1976,Closed,Withheld pending adv,2011-05-11 00:00:00,Open,,2017-05-18 00:00:00,2199,6 years 8 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1654148
3042610,A1209,1959/661,Hungary - Situation reports 1959,1959 - 1959,1959,1959,Closed,Withheld pending adv,2016-05-30 00:00:00,Open,,2017-06-29 00:00:00,395,1 years 30 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=3042610
3044298,A1209,1961/647,Economic aid and technical assistance for Laos,1961 - 1961,1961,1961,Closed,Withheld pending adv,2015-02-16 00:00:00,Open,,2017-11-08 00:00:00,996,2 years 266 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=3044298
12904653,A1946,1969/1931,Strength of forces in Papua New Guinea File 3,1967 - 1973,1967,1973,Closed,Withheld pending adv,2013-11-21 00:00:00,Open,,2017-03-22 00:00:00,1217,3 years 121 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=12904653
1700179,A1838,250/2/1 PART 9,USA - Political - General,1968 - 1969,1968,1969,Closed,Withheld pending adv,2016-05-31 00:00:00,Open,,2017-01-25 00:00:00,239,0 years 239 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1700179
1700288,A1838,250/7/1 PART 19,USA - Foreign policy - General,1968 - 1968,1968,1968,Closed,Withheld pending adv,2016-05-16 00:00:00,Open,,2017-01-18 00:00:00,247,0 years 247 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1700288
1702323,A1838,250/11/18 PART 9,USA - Defence - ANZUS,1982 - 1983,1982,1983,Closed,Withheld pending adv,2013-11-01 00:00:00,Open,,2017-04-04 00:00:00,1250,3 years 154 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1702323
13080542,A1946,1972/1912,ASEAN - Proposals for settlement of Indochina,1967 - 1973,1967,1973,Closed,Withheld pending adv,2015-10-12 00:00:00,Open,,2017-03-31 00:00:00,536,1 years 171 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=13080542
13080617,A1946,1969/547,US - Australia Defence Space Communications Station - Agreements,01 Jan 1969 - 30 Dec 1969,1969,1969,Closed,Withheld pending adv,2015-06-19 00:00:00,Open,,2017-02-16 00:00:00,608,1 years 243 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=13080617
13517344,C2231,16/3/AIR PART 1,Overseas visit by Director RAAF,1957 - 1962,1957,1962,Closed,Withheld pending adv,2014-09-04 00:00:00,Open,,2017-01-20 00:00:00,869,2 years 139 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=13517344
13545789,ST5416/1,200/43/AJASS,ASW general - sonar,1964 - 1964,1964,1964,Closed,Withheld pending adv,2014-10-22 00:00:00,Open,,2017-01-17 00:00:00,818,2 years 88 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=13545789
13546262,ST5416/1,200/27/AJASS,ASWDU reports [Box 4],1952 - 1968,1952,1968,Closed,Withheld pending adv,2014-10-22 00:00:00,Open,,2017-01-24 00:00:00,825,2 years 95 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=13546262
3053507,A1209,1958/6159,Oman - Political and economic reports 1958,1958 - 1958,1958,1958,Closed,Withheld pending adv,2016-11-03 00:00:00,Open,,2017-11-09 00:00:00,371,1 years 6 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=3053507
3054119,A1209,1969/9057 PART 3,Chinese representation in the United Nations - Progressive summaries of developments,1969 - 1969,1969,1969,Closed,Withheld pending adv,2014-11-19 00:00:00,Open,,2017-07-24 00:00:00,978,2 years 248 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=3054119
13538173,SP1739/1,NS5/1/5,Logistic war plans [Box4],1954 - 1966,1954,1966,Closed,Withheld pending adv,2014-10-16 00:00:00,Open,Withheld pending adv,2017-05-01 00:00:00,928,2 years 198 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=13538173
13545788,ST5416/1,200/31/AJASS,ASW Committee (Australia) [Box 4],1952 - 1970,1952,1970,Closed,Withheld pending adv,2014-10-22 00:00:00,Open,,2017-01-17 00:00:00,818,2 years 88 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=13545788
13545790,ST5416/1,200/65/AJASS,Reports by officers on exchange duties/visits [Box 9],1964 - 1970,1964,1970,Closed,Withheld pending adv,2014-10-22 00:00:00,Open,Withheld pending adv,2017-05-12 00:00:00,933,2 years 203 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=13545790
13545792,ST5416/1,201/7/AJASS,Course reports [Box 13],1954 - 1961,1954,1961,Closed,Withheld pending adv,2014-10-22 00:00:00,Open,,2017-01-24 00:00:00,825,2 years 95 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=13545792
13554366,ST2660/1,191/14,SEATO amphibious reconnaissance - Exercise Teamwork Two - report [Box 4],1959 - 1960,1959,1960,Closed,Withheld pending adv,2014-10-22 00:00:00,Open,Withheld pending adv,2017-01-17 00:00:00,818,2 years 88 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=13554366
13555123,ST2660/1,438/15,An operational gaming study of the close defence of small convoys against attack by fast battery driven submarines [Box 9],1962 - 1962,1962,1962,Closed,Withheld pending adv,2014-10-22 00:00:00,Open,,2017-05-12 00:00:00,933,2 years 203 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=13555123
13594342,SP889/1,40613,AJASS tactical investigation Number 1 of 1960,1960 - 1960,1960,1960,Closed,Withheld pending adv,2014-10-22 00:00:00,Open,Withheld pending adv,2017-01-17 00:00:00,818,2 years 88 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=13594342
13594343,SP889/1,405/1,Multiship A/S action systems,1956 - 1961,1956,1961,Closed,Withheld pending adv,2014-10-22 00:00:00,Open,Withheld pending adv,2017-01-18 00:00:00,819,2 years 89 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=13594343
13598801,C1083,AF7/1/3,RAN visit overseas [Box 10],1966 - 1967,1966,1967,Closed,Withheld pending adv,2014-10-29 00:00:00,Open,Withheld pending adv,2017-01-17 00:00:00,811,2 years 81 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=13598801
1724900,A1838,919/8/9 PART 25,United Nations - Disarmament - Prohibition of the use of nuclear weapons resolution 1653 - Control of missile system SALT [Strategic Arms Limitation Talks],1979 - 1979,1979,1979,Closed,Withheld pending adv,2011-04-14 00:00:00,Open,,2017-03-14 00:00:00,2161,5 years 335 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1724900
1725249,A1838,919/8/11/7 PART 4,Nuclear - Chemical warfare - Iran Iraq,1984 - 1984,1984,1984,Closed,Withheld pending adv,2013-10-23 00:00:00,Open,,2017-11-08 00:00:00,1477,4 years 16 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1725249
1725256,A1838,919/8/11/7 PART 10,Nuclear - Chemical warfare - Iran Iraq,1985 - 1985,1985,1985,Closed,Withheld pending adv,2013-10-23 00:00:00,Open,,2017-03-22 00:00:00,1246,3 years 150 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1725256
13554367,ST2660/1,405/023,Development and application of joint A/S tactics [Box 6],1959 - 1961,1959,1961,Closed,Withheld pending adv,2014-10-22 00:00:00,Open,Withheld pending adv,2017-01-17 00:00:00,818,2 years 88 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=13554367
13594345,SP889/1,357/1,Installation of equipment in TAS School,1957 - 1957,1957,1957,Closed,Withheld pending adv,2014-10-22 00:00:00,Open,Withheld pending adv,2017-01-17 00:00:00,818,2 years 88 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=13594345
13598802,C1083,AF7/1/3,Report on overseas visit by LCDR Donohue [Box 10],1969 - 1969,1969,1969,Closed,Withheld pending adv,2014-10-29 00:00:00,Open,Withheld pending adv,2017-01-17 00:00:00,811,2 years 81 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=13598802
1387299,C137,R75571,George William Lyall PULLIN [Repatriation case file] [Box A173],1919 - 1919,1919,1919,Closed,33(1)(g),1996-05-23 00:00:00,Open,,2017-09-07 00:00:00,7777,21 years 107 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1387299
1389332,A1838,519/3/7,"Taiwan - Relations with India, Pakistan and other South Asia countries - South Asia general [2cms]",1950 - 1986,1950,1986,Closed,Withheld pending adv,2011-07-04 00:00:00,Open,,2017-05-12 00:00:00,2139,5 years 313 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1389332
1497992,A1838,338/2/1 PART 3,New Hebrides - Australian representation,1977 - 1978,1977,1978,Closed,Withheld pending adv,2015-09-03 00:00:00,Open,,2017-12-05 00:00:00,824,2 years 94 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1497992
1728836,A1838,48/1/3 PART 21,Poland - Relations with Australia,1982 - 1982,1982,1982,Closed,Withheld pending adv,2016-05-31 00:00:00,Open,,2017-05-12 00:00:00,346,0 years 346 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1728836
1497896,A1838,338/1 ANNEX,New Hebrides - Administration - General,1981 - 1981,1981,1981,Closed,Withheld pending adv,2015-09-02 00:00:00,Open,,2017-07-12 00:00:00,679,1 years 314 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1497896
1505780,A1838,3038/7/2 PART 18,East Timor - External - Refugees,1981 - 1982,1981,1982,Closed,Withheld pending adv,2015-07-27 00:00:00,Open,,2017-06-29 00:00:00,703,1 years 338 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1505780
30710750,A9737,1992/13236,Law of the Sea - Coral Sea Islands ( including Cato Island ),18 May 1944 - 30 Jun 1992,1944,1992,Closed,Withheld pending adv,2013-10-10 00:00:00,Open,,2017-12-05 00:00:00,1517,4 years 56 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=30710750
30711897,A7326,BJ801/13/3 PART 1,Peking China - Political and general - Dependant territories Claims - Macao,24 Jul 1974 - 04 Aug 1986,1974,1986,Closed,Withheld pending adv,2012-06-27 00:00:00,Open,,2017-10-05 00:00:00,1926,5 years 100 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=30711897
1745175,A1838,73/1/3/11 PART 5,Yugoslavia - Foreign policy - Relations with Australia - Visitors to Australia,1979 - 1979,1979,1979,Closed,Withheld pending adv,2016-05-25 00:00:00,Open,,2017-11-29 00:00:00,553,1 years 188 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1745175
1745180,A1838,73/1/3/11/1 PART 2,Yugoslavia - Relations with Australia - Visit of Yugoslav Prime Minister,1973 - 1983,1973,1983,Closed,Withheld pending adv,2016-08-24 00:00:00,Open,,2017-07-24 00:00:00,334,0 years 334 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1745180
1512471,A1838,3103/11/112 PART 5,Japan - Relations with Cambodia,1979 - 1980,1979,1980,Closed,Withheld pending adv,2010-09-21 00:00:00,Open,Withheld pending adv,2017-11-16 00:00:00,2613,7 years 56 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=1512471
30983859,A10136,300/1,Sino-Indian border dispute,25 Jul 1962 - 27 Dec 1962,1962,1962,Closed,Withheld pending adv,2016-05-31 00:00:00,Open,,2017-01-18 00:00:00,232,0 years 232 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=30983859
3111036,A452,1966/69,Outlook for islands of the Pacific - (JIC [Joint Intelligence Committee] papers) [1cm],1963 - 1966,1963,1966,Closed,Withheld pending adv,2014-05-20 00:00:00,Open,,2017-06-23 00:00:00,1130,3 years 34 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=3111036
32438229,A10008,229/3/3/3 PART 4,Sino-Indian relations,14 Dec 1962 - 13 Jun 1963,1962,1963,Closed,Withheld pending adv,2015-12-07 00:00:00,Open,,2017-01-16 00:00:00,406,1 years 41 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=32438229
31014520,A3092,221/1/4/1 PART 2,SEATO - defence of South East Asia,27 Jun 1962 - 12 Nov 1963,1962,1963,Closed,Withheld pending adv,2013-04-02 00:00:00,Open,,2017-06-21 00:00:00,1541,4 years 80 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=31014520
31014524,A3092,221/1/4/1/1A PART 1,SEATO Council,13 Jan 1961 - 29 Dec 1961,1961,1961,Closed,Withheld pending adv,2012-04-16 00:00:00,Open,,2017-01-25 00:00:00,1745,4 years 284 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=31014524
3117962,A452,1969/25,"Recent border crossings and intelligence reports - Amanab Area, Papua New Guinea, 1969 [0.5cm]",1969 - 1970,1969,1970,Closed,Withheld pending adv,2016-11-25 00:00:00,Open,,2017-05-12 00:00:00,168,0 years 168 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=3117962
31732684,A10008,IS226/3/7,Afghanistan's Relations with USSR,17 Sep 1964 - 17 Dec 1982,1964,1982,Closed,Withheld pending adv,2017-01-04 00:00:00,Open,,2017-11-08 00:00:00,308,0 years 308 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=31732684
31758856,A9413,AA3/7 PART 3,Reports to DAFI [Directorate of Air Force Intelligence] and DJIO - Weekly summary of air operations,01 Jan 1971 - 31 May 1971,1971,1971,Closed,Withheld pending adv,2014-07-24 00:00:00,Open,,2017-04-04 00:00:00,985,2 years 255 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=31758856
3122190,A452,1970/4441,Communications with ASIO [Australian Security Intelligence Organisation] and on ASIO [Australian Security Intelligence Organisation] matters [6 pages],1970 - 1970,1970,1970,Closed,Withheld pending adv,2016-11-25 00:00:00,Open,Withheld pending adv,2017-06-15 00:00:00,202,0 years 202 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=3122190
3122826,A452,1971/696,"Recent border crossing and intelligence reports, 1971 - Kiunga Area, Papua New Guinea [1cm]",1971 - 1972,1971,1972,Closed,Withheld pending adv,2016-11-25 00:00:00,Open,,2017-05-12 00:00:00,168,0 years 168 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=3122826
3123251,A452,1971/4041,"Relations with Japan, Papua New Guinea and Australia - Inter-Departmental committee [1.5cms]",1971 - 1971,1971,1971,Closed,Withheld pending adv,2016-07-08 00:00:00,Open,,2017-02-24 00:00:00,231,0 years 231 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=3123251
3123431,A452,1972/139,Future Department of Defence organisation in Papua New Guinea (Study 12) [3cms],1971 - 1972,1971,1972,Closed,Withheld pending adv,2011-08-03 00:00:00,Open,,2017-06-22 00:00:00,2150,5 years 324 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=3123431
3123484,A452,1972/448,Measures to increase Papua New Guinea responsibilities in Defence matters (Study 10) [4cms],1971 - 1973,1971,1973,Closed,Withheld pending adv,2011-08-04 00:00:00,Open,,2017-03-07 00:00:00,2042,5 years 216 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=3123484
31724847,A11099,1/242,P J Lawler,24 Aug 1966 - 27 Sep 1966,1966,1966,Closed,Withheld pending adv,2014-03-12 00:00:00,Open,,2017-01-20 00:00:00,1045,2 years 315 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=31724847
32499515,K60,MKM33530,WATSON Henry Norman - Service Number - WX34357,1933 - 1988,1933,1988,Closed,33(1)(g),2015-03-23 00:00:00,Open,,2017-06-22 00:00:00,822,2 years 92 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=32499515
32758601,A452,1972/0533,Papua New Guinea border crossings and intelligence reports - Kiunga area 1972,1972 - 1973,1972,1973,Closed,Withheld pending adv,2016-11-25 00:00:00,Open,,2017-05-03 00:00:00,159,0 years 159 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=32758601
32499516,K60,HKM33530,WATSON Henry Norman - Service Number - WX34357,1948 - 1987,1948,1987,Closed,33(1)(g),2015-03-23 00:00:00,Open,,2017-06-22 00:00:00,822,2 years 92 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=32499516
32499735,K60,MKM38230,"CALLAGHAN, Percy Louis Moulton - Service Number - 173954, A32893",1949 - 1963,1949,1963,Closed,33(1)(g),2016-05-02 00:00:00,Open,,2017-06-15 00:00:00,409,1 years 44 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=32499735
3533075,B73,M 14027,"PRITCHETT, Arthur Herbert [1 cm] [part Box 11]",1916 - 1935,1916,1935,Closed,33(1)(g),1999-05-25 00:00:00,Open,,2017-08-03 00:00:00,6645,18 years 71 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=3533075
4679423,A1945,24/1/22,Item of mutual interest,1965 - 1965,1965,1965,Closed,Withheld pending adv,2015-04-02 00:00:00,Open,,2017-02-27 00:00:00,697,1 years 332 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=4679423
4679529,A1945,222/2/9 ATTACHMENT 2,Disposal of demi official correspondence between Brigadier Rourke (former First Assistant Secretary) and Australian Defence Representatives Overseas - background Boase/Hewitt,1948 - 1951,1948,1951,Closed,Withheld pending adv,2015-04-14 00:00:00,Open,,2017-01-27 00:00:00,654,1 years 289 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=4679529
4704040,A1945,248/7/34,Country study of Indonesia,1959 - 1959,1959,1959,Closed,Withheld pending adv,2014-03-07 00:00:00,Open,,2017-02-22 00:00:00,1083,2 years 353 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=4704040
4704334,A1945,276/1/19,Military communications in the 1970 era - overtime plan for joint communications systems,1960 - 1960,1960,1960,Closed,Withheld pending adv,2014-01-30 00:00:00,Open,,2017-01-25 00:00:00,1091,2 years 361 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=4704334
4012567,M4843,8,Correspondence of Sir Alan Watt as Ambassador - Tokyo - with H G Marshall,Nov 1957 - Dec 1958,1957,1958,Closed,Withheld pending adv,2012-01-03 00:00:00,Open,,2017-02-16 00:00:00,1871,5 years 45 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=4012567
5450811,M4081,4/43,Seas and Submerged Lands - Meetings  - Discussions with State mines ministers regarding offshore petroleum,1964 - 1965,1964,1965,Closed,Withheld pending adv,2014-11-27 00:00:00,Open,,2017-08-29 00:00:00,1006,2 years 276 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=5450811
3338480,A1838,1558/1/44 PART 19,International Court of Justice - Advisory opinions French Nuclear tests Australia vs France,1973 - 1973,1973,1973,Closed,Withheld pending adv,2016-05-04 00:00:00,Open,,2017-06-30 00:00:00,422,1 years 57 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=3338480
4698012,A1945,100/2/13,Sino - soviet war potential 1959 to 1963,1959 - 1966,1959,1966,Closed,Withheld pending adv,2014-05-08 00:00:00,Open,,2017-06-21 00:00:00,1140,3 years 44 days,http://www.naa.gov.au/cgi-bin/Search?O=I&Number=4698012
